precipitation,fog,sun_altitude,w_lidar,w_stereo,w_camera,w_ai,w_hsi
0.0,20.0,15.0,0.36363636363636365,0.21818181818181814,0.14545454545454545,0.18181818181818182,0.09090909090909091
0.0,20.0,30.0,0.36363636363636365,0.21818181818181814,0.14545454545454545,0.18181818181818182,0.09090909090909091
0.0,20.0,45.0,0.40909090909090917,0.2454545454545455,0.16363636363636366,0.09090909090909093,0.09090909090909093
0.0,20.0,60.0,0.40909090909090917,0.2454545454545455,0.16363636363636366,0.09090909090909093,0.09090909090909093
0.0,20.0,75.0,0.40909090909090917,0.2454545454545455,0.16363636363636366,0.09090909090909093,0.09090909090909093
0.0,20.0,90.0,0.40909090909090917,0.2454545454545455,0.16363636363636366,0.09090909090909093,0.09090909090909093
0.0,30.0,-90.0,0.3863636363636363,0.2318181818181818,0.15454545454545454,0.13636363636363635,0.09090909090909091
0.0,30.0,-75.0,0.3863636363636363,0.2318181818181818,0.15454545454545454,0.13636363636363635,0.09090909090909091
0.0,30.0,-60.0,0.3863636363636363,0.2318181818181818,0.15454545454545454,0.13636363636363635,0.09090909090909091
0.0,30.0,-45.0,0.3863636363636363,0.2318181818181818,0.15454545454545454,0.13636363636363635,0.09090909090909091
0.0,30.0,-30.0,0.34090909090909094,0.20454545454545447,0.13636363636363638,0.2272727272727273,0.09090909090909093
0.0,30.0,-15.0,0.34090909090909094,0.20454545454545447,0.13636363636363638,0.2272727272727273,0.09090909090909093
0.0,30.0,0.0,0.34090909090909094,0.20454545454545447,0.13636363636363638,0.2272727272727273,0.09090909090909093
0.0,30.0,15.0,0.34090909090909094,0.20454545454545447,0.13636363636363638,0.2272727272727273,0.09090909090909093
0.0,30.0,30.0,0.34090909090909094,0.20454545454545447,0.13636363636363638,0.2272727272727273,0.09090909090909093
0.0,30.0,45.0,0.3863636363636363,0.2318181818181818,0.15454545454545454,0.13636363636363635,0.09090909090909091
0.0,30.0,60.0,0.3863636363636363,0.2318181818181818,0.15454545454545454,0.13636363636363635,0.09090909090909091
0.0,30.0,75.0,0.3863636363636363,0.2318181818181818,0.15454545454545454,0.13636363636363635,0.09090909090909091
0.0,30.0,90.0,0.3863636363636363,0.2318181818181818,0.15454545454545454,0.13636363636363635,0.09090909090909091
0.0,40.0,-90.0,0.36363636363636365,0.21818181818181814,0.14545454545454545,0.18181818181818182,0.09090909090909091
0.0,40.0,-75.0,0.36363636363636365,0.21818181818181814,0.14545454545454545,0.18181818181818182,0.09090909090909091
0.0,40.0,-60.0,0.36363636363636365,0.21818181818181814,0.14545454545454545,0.18181818181818182,0.09090909090909091
0.0,40.0,-45.0,0.36363636363636365,0.21818181818181814,0.14545454545454545,0.18181818181818182,0.09090909090909091
0.0,40.0,-30.0,0.3181818181818182,0.19090909090909092,0.1272727272727272,0.27272727272727276,0.09090909090909093
0.0,40.0,-15.0,0.3181818181818182,0.19090909090909092,0.1272727272727272,0.27272727272727276,0.09090909090909093
